time,train_loss,protein_metrics_collection,iteration,hours,valid_loss,epoch,best_valid_loss,lr,save
5622.536,0.13248739,,1591.0,0.029888720379935372,0.13253999,53.0,0.13231215,0.00343,False
5729.796,0.13248739,,1621.0,0.029794448018074036,0.13253999,54.0,0.13231215,0.00343,False
5836.314,0.13248739,,1651.0,0.029588384363386365,0.13253999,55.0,0.13231215,0.00343,False
5944.117,0.13248739,,1681.0,0.029945160945256552,0.13253999,56.0,0.13231215,0.00343,False
6050.9067,0.13248739,,1711.0,0.029663800001144408,0.13253999,57.0,0.13231215,0.00343,False
6157.781,0.13248739,,1741.0,0.029687205619282193,0.13253999,58.0,0.13231215,0.00343,False
6264.485,0.13248739,,1771.0,0.029639974501397874,0.13253999,59.0,0.13231215,0.00343,False
6370.7812,0.13248739,,1801.0,0.02952678918838501,0.13253999,60.0,0.13231215,0.00343,False
6476.701,0.13248739,,1831.0,0.029422269132402208,0.13253999,61.0,0.13231215,0.00343,False
6582.2466,0.13248739,,1861.0,0.029318104982376098,0.13253999,62.0,0.13231215,0.00343,False
6689.6855,0.13248739,,1891.0,0.029844147562980653,0.13253999,63.0,0.13231215,0.00343,False
6796.975,0.13248739,,1921.0,0.02980268597602844,0.13253999,64.0,0.13231215,0.00343,False
